OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	Length	Precision	RMS	Range	Direction	HorzDir	VertDir	MidX	MidY	MidZ	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
BP_SZ_20170428_DOV	0	Becher Point SZ_20170428_LEFT110.avi	17154	Becher Point SZ_20170428_Right111.avi	17875	11.43600	T1	0.18067	496.77749	3.66352	7.20742	2998.59727	6.85447	12.25060	14.20670	-348.66493	80.67273	-2977.16480	Kyphosidae	Kyphosus	sydneyanus	37361001	1	AD	Passing			
BP_SZ_20170428_DOV	1	Becher Point SZ_20170428_LEFT110.avi	17159	Becher Point SZ_20170428_Right111.avi	17880	11.43933	T1	0.18400	531.59741	2.22581	8.85187	2465.93107	7.33783	6.31988	5.78194	300.01606	-95.82372	-2445.73593	Kyphosidae	Kyphosus	sydneyanus	37361001	1	AD	Passing			
BP_SZ_20170428_DOV	2	Becher Point SZ_20170428_LEFT110.avi	17364	Becher Point SZ_20170428_Right111.avi	18085	11.57600	T1	0.32067	631.35048	19.80021	12.28661	4076.99996	24.46877	70.87019	3.65405	1668.44197	260.66951	-3710.83299	Kyphosidae	Kyphosus	sydneyanus	37361001	1	AD	Passing			
BP_SZ_20170428_DOV	9	Becher Point SZ_20170428_LEFT110.avi	17738	Becher Point SZ_20170428_Right111.avi	18459	11.82533	T1	0.57000	349.85992	3.24387	15.06819	3063.15848	13.86728	1.85725	6.61227	-610.58947	-407.63864	-2973.87813	Labridae	Notolabrus	parilus	37384022	1	AD	Passing			
BP_SZ_20170428_DOV	10	Becher Point SZ_20170428_LEFT110.avi	17757	Becher Point SZ_20170428_Right111.avi	18478	11.83800	T1	0.58267	474.91606	2.35307	6.89614	1924.08763	15.24710	18.66453	1.58260	-492.89786	-114.40653	-1856.36097	Kyphosidae	Kyphosus	sydneyanus	37361001	1	AD	Passing			
BP_SZ_20170428_DOV	13	Becher Point SZ_20170428_LEFT110.avi	18097	Becher Point SZ_20170428_Right111.avi	18818	12.06467	T1	0.80933	519.11117	4.09217	7.98944	2688.66682	18.30397	18.64860	13.75539	-628.18120	564.26634	-2552.63024	Kyphosidae	Kyphosus	sydneyanus	37361001	1	AD	Passing			
BP_SZ_20170428_DOV	15	Becher Point SZ_20170428_LEFT110.avi	18591	Becher Point SZ_20170428_Right111.avi	19312	12.39400	T1	1.13867	484.81577	7.24822	6.19322	4544.82163	5.80729	12.68328	5.69232	8.70410	-459.77601	-4521.49687	Kyphosidae	Kyphosus	sydneyanus	37361001	1	AD	Passing			
BP_SZ_20170428_DOV	16	Becher Point SZ_20170428_LEFT110.avi	18591	Becher Point SZ_20170428_Right111.avi	19312	12.39400	T1	1.13867	402.75450	10.31061	10.75454	4166.82630	7.61944	22.77024	1.33102	-375.28271	-405.47323	-4130.03580	Kyphosidae	Kyphosus	sydneyanus	37361001	1	AD	Passing			
BP_SZ_20170428_DOV	17	Becher Point SZ_20170428_LEFT110.avi	18738	Becher Point SZ_20170428_Right111.avi	19459	12.49200	T1	1.23667	487.56611	2.00651	6.77246	2431.15995	8.25486	0.92071	2.31548	331.39901	109.61720	-2405.97121	Kyphosidae	Kyphosus	sydneyanus	37361001	1	AD	Passing			
BP_SZ_20170428_DOV	18	Becher Point SZ_20170428_LEFT110.avi	18741	Becher Point SZ_20170428_Right111.avi	19462	12.49400	T1	1.23867	464.71412	3.08607	8.10949	2452.40844	15.51641	12.15930	2.83155	606.23842	250.76394	-2363.02762	Kyphosidae	Kyphosus	sydneyanus	37361001	1	AD	Passing			
BP_SZ_20170428_DOV	21	Becher Point SZ_20170428_LEFT110.avi	18834	Becher Point SZ_20170428_Right111.avi	19555	12.55600	T1	1.30067	527.09578	5.38690	5.71653	2917.46448	17.52461	20.14355	0.12974	-827.41263	295.19406	-2782.05820	Kyphosidae	Kyphosus	sydneyanus	37361001	1	AD	Passing			
BP_SZ_20170428_DOV	22	Becher Point SZ_20170428_LEFT110.avi	18918	Becher Point SZ_20170428_Right111.avi	19639	12.61200	T1	1.35667	531.41307	8.34429	14.72684	5544.68177	11.79354	0.05516	1.03831	938.44302	635.28549	-5427.63604	Kyphosidae	Kyphosus	sydneyanus	37361001	1	AD	Passing			
BP_SZ_20170428_DOV	23	Becher Point SZ_20170428_LEFT110.avi	18920	Becher Point SZ_20170428_Right111.avi	19641	12.61333	T1	1.35800	490.67801	3.35602	19.41413	2429.45681	23.38033	16.12802	7.05802	746.96941	609.51001	-2229.97637	Kyphosidae	Kyphosus	sydneyanus	37361001	1	AD	Passing			
BP_SZ_20170428_DOV	25	Becher Point SZ_20170428_LEFT110.avi	18929	Becher Point SZ_20170428_Right111.avi	19650	12.61933	T1	1.36400	567.25103	6.66022	10.85544	2635.00655	22.64434	42.66597	0.98622	878.57791	507.26403	-2431.88067	Kyphosidae	Kyphosus	sydneyanus	37361001	1	AD	Passing			
